,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,LeBron James\jamesle01,33,4,4,179,49,93,6,18,32,38,9,25,34,40,5,4,20,11,136,.527,.333,.842,44.7,34.0,8.5,10.0,1.3,1.0
2,Kevin Love\loveke01,29,4,4,133,26,64,9,28,15,16,14,31,45,7,4,1,5,6,76,.406,.321,.938,33.2,19.0,11.3,1.8,1.0,0.3
3,J.R. Smith\smithjr01,32,4,4,130,13,41,9,25,3,5,4,9,13,5,5,0,3,8,38,.317,.360,.600,32.5,9.5,3.3,1.3,1.3,0.0
4,George Hill\hillge01,31,4,4,117,10,31,7,16,3,6,5,4,9,9,3,1,6,16,30,.323,.438,.500,29.2,7.5,2.3,2.3,0.8,0.3
5,Rodney Hood\hoodro01,25,4,0,56,12,27,1,5,2,3,5,10,15,3,2,2,2,4,27,.444,.200,.667,14.1,6.8,3.8,0.8,0.5,0.5
6,Tristan Thompson\thomptr01,26,4,4,94,13,25,0,0,1,3,8,13,21,0,0,3,1,7,27,.520,,.333,23.4,6.8,5.3,0.0,0.0,0.8
7,Larry Nance\nancela02,25,4,0,68,9,18,0,0,5,12,15,13,28,6,2,2,2,7,23,.500,,.417,17.1,5.8,7.0,1.5,0.5,0.5
8,Jeff Green\greenje02,31,4,0,97,8,28,3,14,2,2,2,3,5,8,1,1,2,3,21,.286,.214,1.000,24.4,5.3,1.3,2.0,0.3,0.3
9,Jordan Clarkson\clarkjo01,25,2,0,25,3,13,0,3,0,0,1,3,4,1,2,1,2,2,6,.231,.000,,12.6,3.0,2.0,0.5,1.0,0.5
10,Kyle Korver\korveky01,36,4,0,65,1,16,1,11,3,5,2,5,7,3,0,1,2,7,6,.063,.091,.600,16.2,1.5,1.8,0.8,0.0,0.3
11,Ante Žižić\zizican01,21,3,0,5,3,3,0,0,0,0,1,0,1,0,0,0,0,2,6,1.000,,,1.7,2.0,0.3,0.0,0.0,0.0
12,José Calderón\caldejo01,36,3,0,8,2,4,0,1,0,0,1,2,3,2,1,0,0,0,4,.500,.000,,2.5,1.3,1.0,0.7,0.3,0.0
13,Cedi Osman\osmande01,22,3,0,8,2,5,0,1,0,0,0,1,1,0,0,0,0,0,4,.400,.000,,2.8,1.3,0.3,0.0,0.0,0.0
,Team Totals,30.8,4,,985,151,368,36,122,66,90,67,119,186,84,25,16,45,73,404,.410,.295,.733,246.3,101.0,46.5,21.0,6.3,4.0
